,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
복지부,0.015232100899781305,0.0071516076613665335,0.0043687182250217674,0.006280256241791712
결정,0.008939517794208282,0.014881974636575342,0.006689073934124293,0.01029148108095945
인력,0.014873986316415103,0.006653209636551153,0.005372613358585194,0.004917619223186434
한국,0.014701670598999466,0.012099500484087544,0.010316024871890468,0.008576675189768538
공부,0.012433741148048773,0.012043678487611011,0.01285057702824843,0.0146425979780134
논술,0.0033142120148862753,0.00828368040799527,0.014566465843218279,0.006471650134369193
평가,0.0063465912251002305,0.009966113178733771,0.014499668006115886,0.010082003093100839
응급실,0.008133115435973786,0.0031346719073279536,0.014321191449099796,0.002170932175129005
수술,0.014285441671705763,0.007638523060619927,0.007967226920709,0.004908808394006181
선발,0.008591994609076057,0.014196039975193375,0.010327635569441664,0.009263919091347408
제적,0.00014224085262559298,0.00037764289015175463,0.0007511085847091164,0.014052076148767629
배정,0.013960217845168299,0.005860029540573558,0.0032320938335699766,0.0010133179967741581
선택,0.008703539239875692,0.009331600376652755,0.011537997520347438,0.013877416996066436
보험,0.01384935573283811,0.0066484183703555905,0.006278175931043619,0.006028303546110345
입학,0.013756597820883794,0.011389122053273764,0.008680036042554415,0.011844499486036629
면접,0.0026694240906786552,0.007209336672304096,0.013740680368748188,0.009355005890318199
사직,0.013638208817164495,0.00544559484525618,0.006348155030708222,0.0033187761654698187
면허,0.013427510475341017,0.004737697246284615,0.004157652649113887,0.003809048947345804
보건,0.013392143111980132,0.009119874300961566,0.006173167381942902,0.005198771746933835
건강,0.013360994407769878,0.009089185151837237,0.009066297228593393,0.0057770941534549215
뉴스,0.013355573863147554,0.010151996833318392,0.00767891042955365,0.0074979547709552955
증가,0.013265655713608795,0.010018685780344441,0.010951921445189573,0.011435654450782987
수가,0.013116979768064842,0.005495840686982886,0.004810265928502286,0.003826795505578001
대입,0.006911095047003946,0.012946797700267285,0.00792260957439057,0.009919125477660084
시험,0.005503113883907738,0.007747595816885693,0.012906940683885898,0.008101027518081007
지금,0.012813733078944152,0.008239996074913785,0.008838114167062115,0.007724620342151523
준비,0.010640406303794347,0.011882736250390942,0.012779242941762189,0.010704409511464032
학년,0.006103773491293939,0.009174938582791232,0.010364880927563023,0.012683917730417315
점수,0.0038250675993960113,0.005356511693154152,0.009477165461477371,0.01259289416525497
하루,0.01038233703056572,0.01259220824766704,0.008528157886417599,0.005289522044668111
입장,0.012582530506594636,0.009675294213987058,0.0070164283360187665,0.007515987712082315
사회,0.012480800672713477,0.009355511863180887,0.008891970681212691,0.00878289269931015
학과,0.007411424057152193,0.010374642462312584,0.012430784038380377,0.012480130870451696
재수,0.007185428796168497,0.007206912032935946,0.010400666178105535,0.012470529800535547
상위,0.010010756829085655,0.009037846133300664,0.012464077333176211,0.012113319997423802
전국,0.012393857109486076,0.00980605126400077,0.007494875491122517,0.0069634569651866604
계획,0.010932915712468334,0.012359394412856904,0.006477362060160181,0.00656522582863255
내년,0.005496620802819351,0.0067745835033811725,0.012219444291065666,0.00862792271224424
후기,0.0018586886711359574,0.0022188957487321026,0.0034992755597603284,0.012216300110128184
게시,0.004335521976027151,0.004867897185503343,0.005620907774646609,0.012195956093356004
의견,0.012172495623100476,0.00910351704180232,0.007129989843740634,0.00944657544834738
사직서,0.01204222659626475,0.002888294710368111,0.0014157543399398213,0.0002808952730031681
총선,0.011943885148656542,0.011674332514744753,0.002471332069673389,0.002514527195874483
윤석열,0.009262307526275177,0.011919779434285311,0.011941989041869206,0.009353678888971796
반발,0.011868597771743986,0.004616028900353769,0.00340416820510552,0.004136306686239847
분석,0.006765712233529494,0.008882606101596987,0.008250579276354393,0.011868260871447918
교육부,0.00798197122818278,0.007302939796134715,0.011474736072815605,0.011829715149262116
성적,0.004733447807411822,0.007853208805100645,0.010743685859774045,0.01180361986937259
포스팅,0.00919146804368114,0.011731462003408112,0.007993585777595423,0.0028387737325740337
영어,0.005070476785006097,0.008491118000400852,0.011716407615574893,0.006750379776155756
화교,0.0,0.0,2.271981679596132e-06,0.011684835038422962
국가,0.011591079326625953,0.008355848401585193,0.008394426823882384,0.006736506535262945
정지,0.006287363501149452,0.01152433160260116,0.003693462447728478,0.0029060701605356618
금지,0.009025197399702211,0.006487552717274865,0.005417398922973413,0.011401614370411131
편입,0.003541846205823384,0.007739080542235603,0.005979334641669925,0.011399453772776784
설명회,0.0037606220698842155,0.01022879514903782,0.008622484129405807,0.011386350262237417
단체,0.01135640039998252,0.007120635652531901,0.004458751937015727,0.0037263372639028867
시장,0.011334648338979849,0.007576463317405286,0.006003593562908803,0.0037006643077458516
행동,0.011330352746623576,0.005685851377058341,0.002909205915139646,0.0031809294365860124
간호사,0.0112215554088106,0.0059022698913569205,0.008482991948943414,0.006375099188330933
기준,0.00772686392733947,0.009474707905812054,0.011084542864497528,0.01017042850092908
영향,0.007918064949983959,0.007912115950029766,0.00851269563230007,0.011019909036514647
개혁,0.009153554421041208,0.010972425650105904,0.009991688491055424,0.007080073871858698
제한,0.005938440909467627,0.005072972832698747,0.006134102745606026,0.010903790478725632
신청,0.010896019395147912,0.009816674627926472,0.005525751985737401,0.009171461494380338
수준,0.010819920394530589,0.006950977099643088,0.007396892313908707,0.008575884624965852
대표,0.008519813485519199,0.008447378330642035,0.010762622961132754,0.007188071720888463
집행,0.0019574111954082426,0.010738165191185797,0.0013382541707723144,0.0007296732878686506
