,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
과목,0.006745426948335509,0.009221843987506886,0.012796749708431372,0.01624913746042087
규모,0.016021469247808232,0.009101809917377196,0.005776976874434927,0.005794356155145502
휴학,0.007636091813836687,0.0048322893072174945,0.009525490208506732,0.016014172991481064
서울대,0.01255815458810901,0.008748293505113006,0.012698846251711951,0.015901208605732478
나라,0.015777188781341885,0.009783253774702553,0.0096192098461474,0.010033338940035219
수험,0.006419642326829308,0.009942506388399767,0.012305503754078826,0.015756144449608694
법원,0.0016909896199980383,0.015736252314559628,0.0020907694662301722,0.0029602818363052186
의과,0.015441271903167747,0.0104617945500466,0.006830734381251124,0.007236349049267633
해결,0.015266151116584597,0.009533593611048025,0.008537237968459694,0.008584639460557281
청소년과,0.015266031693914292,0.0007460017021240126,0.0006541421373460553,0.0003061274251528385
수학,0.008572369422369623,0.015255193269555248,0.014907450125681055,0.009750688136811975
의협,0.015012452549995487,0.011343723129977707,0.005346762716221132,0.007376394201713305
복지부,0.014925063449347237,0.007027296331106326,0.0042618630991041045,0.006200808343159226
결정,0.008766054498956094,0.014707656546140056,0.006626346213760948,0.010244332603986769
공부,0.01229638269015041,0.011988664527070541,0.012802540932669896,0.014611724781884482
논술,0.003292973889745001,0.008281857470227555,0.01456416911892833,0.0064713837991429825
한국,0.014474079479176708,0.011921366359046894,0.010146018696137732,0.008420630976059025
평가,0.006276701707573164,0.00993366500391381,0.01445676551263183,0.010055885576970687
인력,0.014373041996629522,0.006429387373406299,0.0051880469225557705,0.004755867600879171
선발,0.008554343661148864,0.014182565009497909,0.010314251299513447,0.009256560826539216
제적,0.00014000948639440364,0.00037733337088485407,0.0007486135813493062,0.01399154309254166
응급실,0.007872526258940511,0.0030264160969537372,0.013885239576975798,0.002101693197070521
수술,0.013872451586277043,0.007436963339057024,0.007761346385149639,0.00479115884858936
배정,0.013835886519859621,0.0058158864585100105,0.0032095091290119246,0.0010114509869307235
선택,0.008596265303700883,0.009280619617277256,0.011497588148456056,0.013820799109592987
면접,0.002657017965952495,0.007205636216983789,0.013703437092512058,0.00935323060540285
입학,0.013628895816269965,0.011322900904482475,0.008639058318459101,0.011805904624042228
보험,0.013366993094477597,0.006447850382653071,0.006025983218921882,0.005889547129682108
사직,0.013330432251245463,0.005323326108546309,0.006175100533182232,0.0032658568611950464
뉴스,0.01319281717700141,0.0100992874524529,0.007618713228946642,0.0074621692618973825
면허,0.013151254352105785,0.0046575676865713055,0.004099080181318006,0.0037651155194283886
보건,0.013068056183859176,0.008932158519763698,0.005991476837431497,0.005096584079791293
증가,0.013008069087166915,0.009911828882364858,0.010878868408926457,0.011365418272761293
대입,0.006883011315421437,0.012912487637176374,0.007915640850812242,0.009915951005093944
건강,0.012911037687810593,0.008872736010979215,0.008830727551513266,0.005681243186612477
시험,0.00546438081624395,0.0077226827458645505,0.012879022621430132,0.008081462929594942
준비,0.010547039774053177,0.011818055575037243,0.012721463573101732,0.010678690181639885
학년,0.006076283290159607,0.009154492253985921,0.01033387406729071,0.012661023255195029
점수,0.0038011265214270363,0.00535432519818947,0.009470186943462647,0.012590119648080603
수가,0.012580565686887474,0.005298715557895763,0.004604047642669126,0.003681681849747849
지금,0.01256354003854229,0.008119381700414091,0.00870877202029312,0.0076399786928920965
하루,0.01023673715093814,0.012489914743477505,0.008466976335558716,0.005248473317895717
재수,0.0071584830268411805,0.007198366725969897,0.010394216928659102,0.012463798526835542
학과,0.007379927641613766,0.01036371703647036,0.012414757991752992,0.012460432206135462
상위,0.00995909492269519,0.00901951243613048,0.012445806988103505,0.012104675899904565
입장,0.01228243982733628,0.00949843732343329,0.006905161685659762,0.007421823005914343
계획,0.010760824303226247,0.01226783930800837,0.006393802839061928,0.006534627111133365
사회,0.012244350594360002,0.009220834701808787,0.00879202770161891,0.00867097273136352
후기,0.001850834865617178,0.00221129166196024,0.0034951997306564495,0.012215789563519503
전국,0.012199085875653585,0.00970637804075727,0.00742640742466932,0.006930633473560766
게시,0.004304204306553967,0.004846994873193363,0.005601175380907514,0.012169555631291771
내년,0.005446248817890399,0.006724531672791166,0.012134012981034194,0.00860452191240459
의견,0.011951589974752538,0.008979165208055747,0.007055722579535969,0.009400156903372689
분석,0.00667948075217549,0.008853423731787888,0.00822731283460726,0.011833918011722244
