topic_0,topic_1,topic_2,topic_3,topic_4,dominant_topic,section,date,title
0.1829035482956881,0.73692122717436,0.010939092655957943,0.001039596445928703,0.06819653542806522,1,1,2024-03-18,뉴스 원고 2024년 3월 18일 SBS 8뉴스
0.0006801226963184271,0.6028455868180289,0.0006713145092457571,0.19638941276451433,0.1994135632118926,1,1,2024-03-17,3월 2주차 신문스크랩 황상무 회칼 발언 논란 의대 교수 사직 다세대주택 공동현관 주거침입죄
0.0031079634758118535,0.0031263310908541536,0.1469723357057077,0.7440716104638271,0.10272175926379933,3,1,2024-03-17,카톨릭의대 교수들 사직에 바티칸에 탄원 넣겠다는 한국
0.0005998622183378377,0.3601455301708928,0.0005955091473937871,0.6380587296971034,0.0006003687662720783,3,1,2024-03-16,3 16 토 의정 대립 속에 실종된 공공의료 찾기 시민행진
0.0019487185629717802,0.056300029309211005,0.0018929992137573571,0.9379412857677375,0.0019169671463224254,3,1,2024-03-16,의사 파업 이유 협회 반대 의견
0.0010093675753782983,0.0010125110806581312,0.0010325534212488458,0.34086904602627327,0.6560765218964414,4,1,2024-03-16,37차 항암 회복기
0.39801054190614366,0.00125264492102196,0.5199476282614678,0.03067025756239118,0.05011892734897546,2,1,2024-03-16,중요한건 꺾이지 않는 마음 or 사교육비
0.0015100913540505106,0.0015183701751728194,0.0015316218648772331,0.886370798120013,0.1090691184858865,3,1,2024-03-16,윤 대통령에게 엉터리로 보고한 보복부 조규홍 장관과 박민수 차관부터 빨리 짤라라 최석태
0.024099712352605832,0.5946668340158021,8.133783855506937e-05,0.33860105409202634,0.042551061701010674,1,1,2024-03-16,2024 3 16의료계주요뉴스
0.0007943300657814379,0.0008076348585470117,0.09086948827248184,0.9067257785881437,0.0008027682150459319,3,1,2024-03-16,의사 파업에 대처하는 생활지원사의 자세
0.0424216664530727,0.000987223673354016,0.21221699981004066,0.7433948819295724,0.000979228133960285,3,1,2024-03-17,수학3등급도 의대 합격 가능하다고 의대증원되면 00가 뜬다 feat 교육법 위반 논란
0.001954452833877889,0.0019396215575753937,0.0019444738406580496,0.9921935373785699,0.001967914389318754,3,1,2024-03-17,의대 증원 없이 수가 올리면 건보료 3 4배 뛰어 지금도 7 넘어 월급쟁이 직장인만 봉
0.0010452719262278565,0.3416824967362258,0.11315252491671327,0.5430784114056981,0.0010412950151348183,3,1,2024-03-17,의대증원 파장 연봉 올려도 지원 0명 의사 구인난 서울 시립병원
0.0011403031894346102,0.0011521098810551085,0.0011495962328547645,0.995422344536293,0.001135646160362622,3,1,2024-03-17,의사 과거와 패턴 똑같다 정부 2천명 증원 변함 없을 듯
0.0012455532467431404,0.0012697947519887322,0.31423751280627915,0.682003703719262,0.0012434354757270886,3,1,2024-03-17,의대교수사직 전국 20개 의대교수비대위 집단사직 25일부터 사직서 제출집단행동 결의 서울대 건국대 연세대 이화여대 한양대 등
0.003906533296981581,0.04613062389098453,0.00396936762762132,0.9420831970129895,0.003910278171423102,3,1,2024-03-17,영국과 일본은 의대 증원을 어떻게 다뤘을까
0.7102974695676351,0.0004268208832186286,0.2884193606637483,0.0004299332470150415,0.0004264156383829791,0,1,2024-03-17,종목 발굴 메가스터디 교육 Case Study 의대 정원 2 000명 증가 수혜
0.0007417576701699996,0.0007437525128494179,0.13057787648703953,0.8672061532173501,0.0007304601125910721,3,1,2024-03-17,의사 증원 국민의 바람과 윤석열 정부의 불통 정책
0.0021705176852123476,0.002188315297303552,0.002194703603586054,0.9912704617882084,0.002176001625689591,3,1,2024-03-17,전공의 사직 의대정원이슈 그리고 간호사 간호법 나의 생각
0.0020677766105154007,0.0020876795574511866,0.0020570156551780695,0.9917280943879687,0.0020594337888865913,3,1,2024-03-17,이번엔 의대 교수 집단사직 예고 의료 현장 또 다른 혼란 예고
0.03354765651324532,0.03418379151547575,0.03500451899059463,0.03507858847148303,0.8621854445092012,4,1,2024-03-17,남편 수술이 2년 후라고 했다 의대 증원 불가피하다 의대 증원이 지금 당장 국민에게 도움이 되는 것이 아니다 6년 후에도 수련의가 되기까지 또 시간이 걸린다 퇴직하셨던
0.000668408643822668,0.1506207297277953,0.0006697125443124824,0.8473687361748062,0.0006724129092633647,3,1,2024-03-18,대통령 서울아산병원 어린이병원 방문해 중증 어린이 환자와 보호자 의료진 격려
