,doc_freq,max_section_mean_tfidf,mean_section_mean_tfidf,sticky_score
역대,854,0.004424008654683254,0.003834876350511735,157.4481263525696
온라인,597,0.0027937408596173273,0.002312350177269519,157.36446480960197
졸업,1321,0.00739642061381555,0.006308501867450298,157.32894536350574
역사,566,0.002599134103632347,0.0020916782703329856,157.26004747330114
조성,361,0.0012982224379401181,0.0011307147227199242,157.07791989167157
증가,2258,0.013388179621848066,0.01149438278513848,156.93437664423422
얘기,1409,0.007985227577252755,0.007134695246633883,156.81294523547322
단계,880,0.004613900437009189,0.003974598176358787,156.75375968527524
입장,2120,0.012545407249269391,0.009256820503888269,156.51061359667483
개최,483,0.002092940673071672,0.0017512946786885164,156.16206421454615
처리,817,0.00423473762380761,0.0036158098176604994,156.0727697763266
압박,568,0.0026405479237420993,0.0019279126556080617,156.0204705164699
